Timestamp,Year,Month,TransactionID,ProductID,ProductName,ProductCategory,Quantity,Amount,Profit,Employee,StoreSector_product,PaymentMethod,Order_date
2020-01-01 13:00:00,2020,1,1,102,ProductC,Smartphones & Accessories,2,186.58409572711764,137.49817203723813,Emp1,SectionB,Credit Card,2020-01-01
2020-01-01 13:00:00,2020,1,1,101,ProductB,Home Electronics,1,143.37834565034964,127.50439367770329,Emp1,SectionA,Cash,2020-01-01
2020-01-02 09:00:00,2020,1,3,103,ProductC,Audio & Headphones,3,155.55773763327804,77.9431338517945,Emp3,SectionB,Credit Card,2020-01-02
2020-01-02 09:00:00,2020,1,3,103,ProductB,Smartphones & Accessories,3,184.4276736815672,173.69083255245215,Emp3,SectionB,Credit Card,2020-01-02
2020-01-02 09:00:00,2020,1,3,102,ProductB,Audio & Headphones,4,162.12762166814736,130.33724757272594,Emp1,SectionC,Cash,2020-01-02
2020-01-03 13:00:00,2020,1,6,102,ProductC,Smartphones & Accessories,1,19.176206445032985,-61.20864061129589,Emp2,SectionB,Credit Card,2020-01-03
2020-01-03 13:00:00,2020,1,6,102,ProductB,Smartphones & Accessories,4,17.380926870800817,-48.22525883590596,Emp3,SectionC,Debit Card,2020-01-03
2020-01-03 13:00:00,2020,1,6,103,ProductA,Smartphones & Accessories,4,35.23038414747042,-3.1238475652036826,Emp1,SectionC,Cash,2020-01-03
2020-01-04 15:00:00,2020,1,9,103,ProductC,Home Electronics,4,68.09367903572516,43.431674631424556,Emp3,SectionC,Cash,2020-01-04
2020-01-05 12:00:00,2020,1,10,101,ProductC,Smartphones & Accessories,4,15.703831524021265,-55.70366130783529,Emp3,SectionA,Credit Card,2020-01-05
2020-01-05 12:00:00,2020,1,10,103,ProductB,Laptops & Computers,2,56.287587419631805,29.517846249131978,Emp2,SectionC,Cash,2020-01-05
2020-01-06 17:00:00,2020,1,12,102,ProductC,Audio & Headphones,1,46.99785081079801,-17.685301950462588,Emp3,SectionC,Credit Card,2020-01-06
2020-01-06 17:00:00,2020,1,12,102,ProductB,Audio & Headphones,4,92.92376621608136,50.842538872626825,Emp1,SectionB,Cash,2020-01-06
2020-01-06 17:00:00,2020,1,12,102,ProductC,Laptops & Computers,2,111.04662963879221,73.07480722032186,Emp3,SectionC,Debit Card,2020-01-06
2020-01-06 17:00:00,2020,1,12,103,ProductB,Smartphones & Accessories,4,130.34834622101772,104.47745994474735,Emp3,SectionB,Debit Card,2020-01-06
2020-01-06 17:00:00,2020,1,12,103,ProductA,Home Electronics,3,46.73054316548533,-6.703368546562636,Emp3,SectionA,Credit Card,2020-01-06
2020-01-07 15:00:00,2020,1,17,102,ProductC,Smartphones & Accessories,2,53.568761004498995,34.403827030120894,Emp1,SectionC,Debit Card,2020-01-07
2020-01-08 13:00:00,2020,1,18,101,ProductA,Laptops & Computers,3,46.17432697731681,17.85870378097457,Emp1,SectionB,Debit Card,2020-01-08
2020-01-08 13:00:00,2020,1,18,101,ProductA,Smartphones & Accessories,2,75.26902906174709,-22.602913699222043,Emp1,SectionA,Cash,2020-01-08
2020-01-08 13:00:00,2020,1,18,101,ProductC,Smartphones & Accessories,2,59.99341763166319,39.39903063533522,Emp2,SectionC,Credit Card,2020-01-08
2020-01-09 12:00:00,2020,1,21,103,ProductB,Laptops & Computers,1,127.88510541446719,57.63828702734064,Emp1,SectionC,Credit Card,2020-01-09
2020-01-09 12:00:00,2020,1,21,103,ProductC,Smartphones & Accessories,3,111.08725152281079,58.83106779375069,Emp3,SectionC,Credit Card,2020-01-09
2020-01-09 12:00:00,2020,1,21,102,ProductA,Laptops & Computers,4,60.63842643296159,-36.782244274070415,Emp1,SectionB,Debit Card,2020-01-09
2020-01-09 12:00:00,2020,1,21,101,ProductA,Smartphones & Accessories,1,53.515284728809604,14.385720431633274,Emp2,SectionC,Debit Card,2020-01-09
2020-01-10 11:00:00,2020,1,25,101,ProductA,Smartphones & Accessories,3,54.98660299594355,-0.94737538763804,Emp1,SectionC,Cash,2020-01-10
2020-01-10 11:00:00,2020,1,25,103,ProductB,Home Electronics,2,10.68452546042456,-57.223737785316,Emp2,SectionA,Debit Card,2020-01-10
2020-01-10 11:00:00,2020,1,25,103,ProductA,Smartphones & Accessories,2,63.009449228556335,-33.20349191483875,Emp3,SectionA,Credit Card,2020-01-10
2020-01-11 16:00:00,2020,1,28,103,ProductC,Smartphones & Accessories,1,115.64525486408458,52.9864434417073,Emp3,SectionB,Credit Card,2020-01-11
2020-01-11 16:00:00,2020,1,28,103,ProductC,Laptops & Computers,3,190.18030856762192,163.55084437564912,Emp2,SectionB,Cash,2020-01-11
2020-01-12 11:00:00,2020,1,30,102,ProductB,Audio & Headphones,3,188.2338415871953,133.45954604656728,Emp1,SectionB,Cash,2020-01-12
2020-01-12 11:00:00,2020,1,30,101,ProductA,Smartphones & Accessories,1,92.9218249899904,30.24982204921745,Emp3,SectionC,Debit Card,2020-01-12
2020-01-12 11:00:00,2020,1,30,102,ProductB,Laptops & Computers,4,149.7808032298052,128.79525617709518,Emp2,SectionB,Cash,2020-01-12
2020-01-13 12:00:00,2020,1,33,101,ProductC,Home Electronics,3,141.30013280698498,120.34790517948277,Emp3,SectionC,Credit Card,2020-01-13
2020-01-13 12:00:00,2020,1,33,103,ProductB,Smartphones & Accessories,3,81.218210251648,3.5468524364796394,Emp3,SectionC,Credit Card,2020-01-13
2020-01-14 12:00:00,2020,1,35,101,ProductB,Smartphones & Accessories,1,86.50997100927589,17.662522071227897,Emp2,SectionB,Debit Card,2020-01-14
